"URL","Creación","Vencimiento","Días para venc","Tipo Cert","Estado","Administración","Responsable"
"mdm.bpba.com.ar","23/07/2018","24/07/2020","#VALUE!","Secure Site Pro","VIGENTE","COMPRADO","PAI"
"wifiguest.bancoprovincia.com.ar","23/08/2018","24/08/2020","#VALUE!","Secure Site Pro","VIGENTE","COMPRADO","PAI"
"entidad1.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro","VIGENTE","COMPRADO","GSI"
"www.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro with EV (1 Cert con 8 lic)","VIGENTE","COMPRADO","GSI"
"www.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro with EV (1 Cert con 8 lic)","VIGENTE","COMPRADO","GSI"
"www.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro with EV (1 Cert con 8 lic)","VIGENTE","COMPRADO","GSI"
"www.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro with EV (1 Cert con 8 lic)","VIGENTE","COMPRADO","GSI"
"www.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro with EV (1 Cert con 8 lic)","VIGENTE","COMPRADO","GSI"
"www.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro with EV (1 Cert con 8 lic)","VIGENTE","COMPRADO","GSI"
"www.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro with EV (1 Cert con 8 lic)","VIGENTE","COMPRADO","GSI"
"www.bancoprovincia.bancainternet.com.ar","07/11/2018","08/11/2020","#VALUE!","Secure Site Pro with EV (1 Cert con 8 lic)","VIGENTE","COMPRADO","GSI"
"compras.bancoprovincia.com.ar","04/12/2018","04/12/2020","#VALUE!","Secure Site Pro","VIGENTE","COMPRADO","GSI"
"webmail.bancoprovincia.com.ar (GEOTRUST)","06/11/2018","06/12/2020","#VALUE!","Geotrust True BusinessID - SAN","VIGENTE","COMPRADO","GSI"
"ftp.bancoprovincia.com.ar","07/01/2020","08/01/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"activesync.bpba.com.ar","07/01/2020","08/01/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"Billetera Electrónica (TODO PAGO)","14/01/2020","15/01/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"aplicativos.bancoprovincia.bancainternet.com.ar","14/01/2020","15/01/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"accesible.bancoprovincia.com.ar","28/01/2020","29/01/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"gestionar.bancoprovincia.com.ar","08/03/2020","10/03/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"facta.bancoprovincia.com.ar","27/03/2019","28/03/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"jxnet.bancoprovincia.com.ar","02/04/2020","04/04/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"webvpn.bpba.com.ar  ","24/04/2020","24/04/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","PAI"
"www.bancoprovincia.com.ar","09/05/2019","10/05/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"www.bancoprovincia.com.ar","09/05/2019","10/05/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"sip.bpba.com.ar","09/05/2019","10/05/2021","#VALUE!","Geotrust True BusinessID - SAN","VIGENTE","PENDIENTE","GSI"
"lsweb.bpba.com.ar","09/05/2019","10/05/2021","#VALUE!","Geotrust True BusinessID - SAN","VIGENTE","PENDIENTE","GSI"
"bipmovil.bancoprovincia.com.ar","09/05/2019","10/05/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"bipmovil.bancoprovincia.com.ar","09/05/2019","10/05/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"wifignn.bancoprovincia.com.ar","09/05/2019","10/05/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","PAI"
"wificc.bancoprovincia.com.ar","09/05/2019","10/05/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","PAI"
"mora.bancoprovincia.com.ar","17/06/2020","19/06/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"cms.bpba.com.ar","05/11/2019","04/11/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"webexbp.bancoprovincia.com.ar","05/11/2019","04/11/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"wsmovil.bancoprovincia.com.ar","19/12/2019","19/12/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"wsmovil.bancoprovincia.com.ar","19/12/2019","19/12/2021","#VALUE!","Secure Site Pro","VIGENTE","PENDIENTE","GSI"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
